Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Guyana,"12,010","10,722","16,712","17,603","19,526","25,163","28,086","27,494","21,617","21,859","22,455","22,122","21,704","15,993","25,214","18,266","25,171","28,299","37,237","33,804","41,268","53,648","55,753","57,436","64,297","71,189"
Romania,"217,248","74,093","94,836","102,144","68,253","51,113","47,667","16,069","27,314","14,507","18,539","24,680","42,685","59,344","153,438","177,320","86,676","59,559","76,824","59,473","41,738","36,732","78,069","43,451","38,982","68,918"
Georgia,0,0,"14,107","32,312","58,877","54,576","47,563","29,495","62,027","31,819","46,456","37,750","31,052","45,164","76,365","68,884","35,376","37,988","67,691","75,300","90,347","117,757","119,605","100,287","94,872","66,452"
Kenya,"14,509","8,082","48,173","44,725","58,988","34,099","10,482","31,755","60,714","28,703","27,485","19,314","43,145","33,166","36,944","31,367","77,425","77,249","94,088","153,698","79,104","94,749","80,926","80,096","67,992","66,255"
Djibouti,"2,705","1,669","2,007","2,034","2,243","3,078","2,245","1,568","5,354","12,426","1,679","1,614","43,219","10,118","25,070","25,378","16,365","24,565","97,092","102,402","68,563","84,249","69,676","102,171","39,734","65,092"
Oman,"7,581","10,948","11,029","9,687","11,990","14,008","13,560","11,521","17,724","18,141","12,533","16,529","16,732","13,495","20,439","12,630","13,318","25,313","76,778","35,889","44,283","87,802","68,715","56,782","60,316","63,544"
Sudan(*),"13,332","52,896","13,516","30,294","38,216","10,474","15,869","11,041","6,495","8,399","17,329","16,273","9,551","25,164","61,708","96,908","71,621","73,643","134,982","66,547","95,612","62,976","49,502","55,969","84,734","63,482"
Bahrain,"7,295","15,965","13,545","22,761","21,286","22,334","18,423","9,198","22,252","26,799","12,459","29,833","28,610","16,708","18,811","14,799","15,775","18,352","56,475","31,695","43,778","52,827","62,898","77,671","74,027","60,365"
Cayman Islands,"15,876","11,226","9,748","10,832","15,838","14,209","19,724","35,042","43,006","36,059","37,358","31,687","28,522","29,488","30,507","36,227","46,799","56,745","61,511","50,561","52,608","49,838","54,431","61,625","65,493","59,970"
French Pacific Islands(*),"23,713","24,176","26,681","26,623","26,019","27,853","35,910","37,728","36,768","32,128","33,969","32,458","30,931","30,402","37,170","41,309","38,539","47,071","58,651","61,330","59,144","65,394","67,247","69,596","64,477","56,958"
Lithuania,0,0,"25,333","18,688","19,144","12,314","14,604","14,468","1,453","2,252","2,284","12,536","4,889","10,459","58,820","80,814","98,550","123,945","135,862","100,638","115,402","104,687","129,276","112,730","88,534","56,580"
Kazakhstan,0,0,"9,542","1,554","2,875",819,"1,296",273,"11,506","2,395",556,"6,698","7,768","13,935","11,904","26,662","36,120","22,979","30,469","16,215","25,330","48,533","124,444","79,640","57,191","54,291"
Belize,"16,688","17,849","19,583","17,393","17,987","14,960","15,389","15,606","17,161","16,220","20,544","21,206","19,480","23,460","22,435","23,600","25,128","31,352","36,227","37,804","37,888","44,862","44,766","47,373","45,816","51,632"
Suriname,"18,795","11,882","17,237","12,756","14,208","21,863","25,966","24,407","23,150","16,274","16,424","18,748","17,565","20,349","15,683","20,047","20,127","26,770","28,711","35,184","42,720","50,844","57,857","54,013","54,161","49,514"
Papua New Guinea,580,856,957,"1,720","1,517","7,242","3,576","5,529","3,555","2,234","1,209","1,175","2,382","1,288","2,581","17,047",525,"1,449","27,826","91,466","79,708","3,789","4,364","9,369","12,441","46,188"
Croatia,0,0,"16,994","16,211","49,077","32,397","19,231","27,628","19,368","2,714",713,"4,702","6,588","2,390","3,991","6,918","4,527","5,040","11,754","9,303","13,572","18,700","20,722","19,888","18,431","43,547"
Cambodia,0,0,0,432,541,"4,214","1,663","2,211",840,"1,976","5,230","9,287","4,135","4,762","8,651","5,281","3,262","7,164","6,102","6,345","10,939","12,550","19,707","25,654","26,689","41,034"
Ukraine,0,0,"165,663","137,404","63,249","37,899","44,366","29,519","16,332","23,418","6,487","18,441","13,528","16,605","121,487","101,467","108,432","210,959","282,826","146,093","138,956","90,244","135,040","201,808","88,993","39,635"
Burma,"5,829",582,592,91,"1,415",978,"1,744",618,339,960,553,"1,793","1,759","1,116","1,008",506,"1,076","2,027","2,731",451,"1,894","15,618","8,108","12,436","16,495","38,760"
Hungary,"34,515","13,473","11,677","10,552","11,346","13,394","9,483","25,107","18,250","19,587","17,454","23,229","26,749","29,114","25,181","22,417","26,157","28,946","26,888","28,084","22,968","19,445","24,071","38,599","49,637","37,137"
Congo (Brazzaville),"2,972","2,195","6,619",465,"6,247","6,048","6,853","5,219","7,816","9,429","16,254","14,312","4,251","13,205","8,246","10,404","6,711","20,384","25,785","22,106","43,280","54,304","59,329","50,414","51,272","36,437"
Paraguay,"6,513","10,663","13,081","17,630","23,701","28,069","33,199","31,234","9,538","9,684","9,055","4,723","2,979","1,613","3,057","2,661","3,685","8,057","18,368","13,397","26,869","39,640","51,891","43,000","39,839","34,940"
Benin,"11,071","9,135","12,647","6,467","7,576","9,882","1,847","5,143","6,473","2,391","3,893","4,445","5,169","3,961","5,847","4,449","5,500","3,416","6,482","15,256","8,816","6,421","16,773","28,339","41,950","33,409"
Bolivia,"22,172","35,252","41,061","29,559","31,596","27,865","40,287","30,724","28,839","19,836","13,457","15,384","19,380","30,844","23,318","17,793","22,033","28,690","24,211","10,981","20,053","27,911","28,576","39,066","44,621","33,328"
Afghanistan,0,18,25,"6,768",128,160,"8,416","2,390",297,"4,621","5,254","4,191",297,"14,401","21,829","39,654","38,950","57,116","75,222","52,619","81,279","63,088","45,075","27,204","31,359","32,760"
Tanzania,"2,084","2,558","2,452","4,213","16,854","12,993","4,730","13,261","7,728","16,544","3,760","9,897","11,656","12,520","9,384","7,281","17,709","24,129","31,388","31,590","23,349","66,340","13,551","39,441","42,550","31,773"
Gabon,"1,132","1,242",919,"1,364",934,696,389,580,"1,237","2,116","2,909","3,626","4,383","3,489","8,558","4,930","5,787","10,401","8,508","17,298","17,999","30,304","28,770","33,250","38,583","31,291"
Turks and Caicos Islands,"4,070","3,384","3,560","2,873","3,008","3,651","4,456","5,341","5,646","7,490","6,566","4,779","3,971","6,362","7,206","10,226","13,741","17,230","22,758","17,942","16,465","18,623","20,036","21,604","25,213","26,499"
Congo (Kinshasa),"29,531","15,417","7,830","9,981","10,484","30,965","24,269","13,653","9,819","3,259","1,713","6,430","6,585","10,215","30,806","27,695","28,300","57,082","40,125","24,646","33,173","47,376","79,598","39,648","55,163","25,971"
Cameroon,"17,362","13,316","22,072","21,557","11,138","3,956","3,272","12,317","6,360","6,278","4,961","1,440","4,065","10,304","7,611","6,141","5,063","3,960","9,534","21,573","25,948","18,160","15,884","30,594","22,275","24,997"
Czech Republic,0,0,0,"15,688","15,400","18,505","13,002","15,821","9,487","7,684","7,802","9,922","12,912","15,523","28,319","41,505","31,902","45,196","31,489","28,984","29,312","29,514","26,954","26,087","29,447","24,273"
Liberia,"18,104","37,088","14,530","32,305","36,086","29,990","36,895","17,734","13,050","16,076","12,593","8,961","9,311","12,028","14,480","18,257","19,456","17,702","18,251","16,898","25,453","50,469","51,639","24,393","16,997","24,134"
Austria,"31,511","36,577","37,214","32,235","42,087","24,300","28,575","26,849","22,288","14,635","17,326","15,890","13,328","18,408","32,017","35,139","42,294","82,168","99,704","38,156","24,738","31,343","43,298","50,011","29,032","23,971"
Iceland,"9,580","9,730","11,528","11,457","11,343","15,368","18,370","15,951","19,226","30,166","18,867","19,921","14,096","15,117","13,505","17,472","17,963","19,410","21,891","16,210","16,519","17,883","18,099","22,205","21,825","22,862"
